"STATISTIC","Statistic Label","TLIST(A1)","Year","C01912V02351","Type of Non Residential Building","C01921V02511","Type of Construction","UNIT","VALUE"
"BHA07C2","Total Floor Area for which Permission Granted","2002","2002","206","Buildings for trade and administration buildings for other economic activities","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHA07C2","Total Floor Area for which Permission Granted","2002","2002","207","Public administration and public buildings for special purposes","-","All types of construction","000 Sq Metres","18"
"BHA07C2","Total Floor Area for which Permission Granted","2002","2002","207","Public administration and public buildings for special purposes","1","New construction","000 Sq Metres","17"
"BHA07C2","Total Floor Area for which Permission Granted","2002","2002","207","Public administration and public buildings for special purposes","2","Extensions","000 Sq Metres","1"
"BHA07C2","Total Floor Area for which Permission Granted","2002","2002","207","Public administration and public buildings for special purposes","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHA07C2","Total Floor Area for which Permission Granted","2002","2002","208","Buildings for health and welfare","-","All types of construction","000 Sq Metres","219"
"BHA07C2","Total Floor Area for which Permission Granted","2002","2002","208","Buildings for health and welfare","1","New construction","000 Sq Metres","156"
"BHA07C2","Total Floor Area for which Permission Granted","2002","2002","208","Buildings for health and welfare","2","Extensions","000 Sq Metres","64"
"BHA07C2","Total Floor Area for which Permission Granted","2002","2002","208","Buildings for health and welfare","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHA07C2","Total Floor Area for which Permission Granted","2002","2002","209","Buildings for entertainment and recreation","-","All types of construction","000 Sq Metres","207"
"BHA07C2","Total Floor Area for which Permission Granted","2002","2002","209","Buildings for entertainment and recreation","1","New construction","000 Sq Metres","144"
"BHA07C2","Total Floor Area for which Permission Granted","2002","2002","209","Buildings for entertainment and recreation","2","Extensions","000 Sq Metres","63"
"BHA07C2","Total Floor Area for which Permission Granted","2002","2002","209","Buildings for entertainment and recreation","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHA07C2","Total Floor Area for which Permission Granted","2002","2002","210","Buildings for education, culture, science and research","-","All types of construction","000 Sq Metres","319"
"BHA07C2","Total Floor Area for which Permission Granted","2002","2002","210","Buildings for education, culture, science and research","1","New construction","000 Sq Metres","128"
"BHA07C2","Total Floor Area for which Permission Granted","2002","2002","210","Buildings for education, culture, science and research","2","Extensions","000 Sq Metres","191"
"BHA07C2","Total Floor Area for which Permission Granted","2002","2002","210","Buildings for education, culture, science and research","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHA07C2","Total Floor Area for which Permission Granted","2002","2002","211","Buildings for religious and funerary","-","All types of construction","000 Sq Metres","9"
"BHA07C2","Total Floor Area for which Permission Granted","2002","2002","211","Buildings for religious and funerary","1","New construction","000 Sq Metres","5"
"BHA07C2","Total Floor Area for which Permission Granted","2002","2002","211","Buildings for religious and funerary","2","Extensions","000 Sq Metres","4"
"BHA07C2","Total Floor Area for which Permission Granted","2002","2002","211","Buildings for religious and funerary","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHA07C2","Total Floor Area for which Permission Granted","2002","2002","212","Other non-residential buildings","-","All types of construction","000 Sq Metres","3"
"BHA07C2","Total Floor Area for which Permission Granted","2002","2002","212","Other non-residential buildings","1","New construction","000 Sq Metres","3"
"BHA07C2","Total Floor Area for which Permission Granted","2002","2002","212","Other non-residential buildings","2","Extensions","000 Sq Metres","0"
"BHA07C2","Total Floor Area for which Permission Granted","2002","2002","212","Other non-residential buildings","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHA07C2","Total Floor Area for which Permission Granted","2002","2002","213","Office development, buildings for financing and insurance","-","All types of construction","000 Sq Metres","761"
"BHA07C2","Total Floor Area for which Permission Granted","2002","2002","213","Office development, buildings for financing and insurance","1","New construction","000 Sq Metres","685"
"BHA07C2","Total Floor Area for which Permission Granted","2002","2002","213","Office development, buildings for financing and insurance","2","Extensions","000 Sq Metres","76"
"BHA07C2","Total Floor Area for which Permission Granted","2002","2002","213","Office development, buildings for financing and insurance","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHA07C2","Total Floor Area for which Permission Granted","2002","2002","214","Creche","-","All types of construction","000 Sq Metres","60"
"BHA07C2","Total Floor Area for which Permission Granted","2002","2002","214","Creche","1","New construction","000 Sq Metres","56"
"BHA07C2","Total Floor Area for which Permission Granted","2002","2002","214","Creche","2","Extensions","000 Sq Metres","4"
"BHA07C2","Total Floor Area for which Permission Granted","2002","2002","214","Creche","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHA07C2","Total Floor Area for which Permission Granted","2003","2003","200","All non residential buildings","-","All types of construction","000 Sq Metres","4812"
"BHA07C2","Total Floor Area for which Permission Granted","2003","2003","200","All non residential buildings","1","New construction","000 Sq Metres","3937"
"BHA07C2","Total Floor Area for which Permission Granted","2003","2003","200","All non residential buildings","2","Extensions","000 Sq Metres","875"
"BHA07C2","Total Floor Area for which Permission Granted","2003","2003","200","All non residential buildings","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHA07C2","Total Floor Area for which Permission Granted","2003","2003","201","Buildings for agriculture, forestry, horticulture, fruit-growing, viniculture and fishery purposes","-","All types of construction","000 Sq Metres","414"
"BHA07C2","Total Floor Area for which Permission Granted","2003","2003","201","Buildings for agriculture, forestry, horticulture, fruit-growing, viniculture and fishery purposes","1","New construction","000 Sq Metres","350"
"BHA07C2","Total Floor Area for which Permission Granted","2003","2003","201","Buildings for agriculture, forestry, horticulture, fruit-growing, viniculture and fishery purposes","2","Extensions","000 Sq Metres","64"
"BHA07C2","Total Floor Area for which Permission Granted","2003","2003","201","Buildings for agriculture, forestry, horticulture, fruit-growing, viniculture and fishery purposes","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHA07C2","Total Floor Area for which Permission Granted","2003","2003","202","Buildings for mining, energy and water","-","All types of construction","000 Sq Metres","14"
"BHA07C2","Total Floor Area for which Permission Granted","2003","2003","202","Buildings for mining, energy and water","1","New construction","000 Sq Metres","13"
"BHA07C2","Total Floor Area for which Permission Granted","2003","2003","202","Buildings for mining, energy and water","2","Extensions","000 Sq Metres","1"
"BHA07C2","Total Floor Area for which Permission Granted","2003","2003","202","Buildings for mining, energy and water","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHA07C2","Total Floor Area for which Permission Granted","2003","2003","203","Buildings for industry and manufacturing handicraft","-","All types of construction","000 Sq Metres","916"
"BHA07C2","Total Floor Area for which Permission Granted","2003","2003","203","Buildings for industry and manufacturing handicraft","1","New construction","000 Sq Metres","748"
"BHA07C2","Total Floor Area for which Permission Granted","2003","2003","203","Buildings for industry and manufacturing handicraft","2","Extensions","000 Sq Metres","168"
"BHA07C2","Total Floor Area for which Permission Granted","2003","2003","203","Buildings for industry and manufacturing handicraft","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHA07C2","Total Floor Area for which Permission Granted","2003","2003","204","Hotels, restaurants and cafes","-","All types of construction","000 Sq Metres","728"
"BHA07C2","Total Floor Area for which Permission Granted","2003","2003","204","Hotels, restaurants and cafes","1","New construction","000 Sq Metres","525"
"BHA07C2","Total Floor Area for which Permission Granted","2003","2003","204","Hotels, restaurants and cafes","2","Extensions","000 Sq Metres","203"
"BHA07C2","Total Floor Area for which Permission Granted","2003","2003","204","Hotels, restaurants and cafes","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHA07C2","Total Floor Area for which Permission Granted","2003","2003","205","Buildings for transport","-","All types of construction","000 Sq Metres","177"
"BHA07C2","Total Floor Area for which Permission Granted","2003","2003","205","Buildings for transport","1","New construction","000 Sq Metres","165"
"BHA07C2","Total Floor Area for which Permission Granted","2003","2003","205","Buildings for transport","2","Extensions","000 Sq Metres","12"
"BHA07C2","Total Floor Area for which Permission Granted","2003","2003","205","Buildings for transport","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHA07C2","Total Floor Area for which Permission Granted","2003","2003","206","Buildings for trade and administration buildings for other economic activities","-","All types of construction","000 Sq Metres","1211"
"BHA07C2","Total Floor Area for which Permission Granted","2003","2003","206","Buildings for trade and administration buildings for other economic activities","1","New construction","000 Sq Metres","1049"
"BHA07C2","Total Floor Area for which Permission Granted","2003","2003","206","Buildings for trade and administration buildings for other economic activities","2","Extensions","000 Sq Metres","162"
"BHA07C2","Total Floor Area for which Permission Granted","2003","2003","206","Buildings for trade and administration buildings for other economic activities","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHA07C2","Total Floor Area for which Permission Granted","2003","2003","207","Public administration and public buildings for special purposes","-","All types of construction","000 Sq Metres","18"
"BHA07C2","Total Floor Area for which Permission Granted","2003","2003","207","Public administration and public buildings for special purposes","1","New construction","000 Sq Metres","13"
"BHA07C2","Total Floor Area for which Permission Granted","2003","2003","207","Public administration and public buildings for special purposes","2","Extensions","000 Sq Metres","5"
"BHA07C2","Total Floor Area for which Permission Granted","2003","2003","207","Public administration and public buildings for special purposes","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHA07C2","Total Floor Area for which Permission Granted","2003","2003","208","Buildings for health and welfare","-","All types of construction","000 Sq Metres","203"
"BHA07C2","Total Floor Area for which Permission Granted","2003","2003","208","Buildings for health and welfare","1","New construction","000 Sq Metres","140"
"BHA07C2","Total Floor Area for which Permission Granted","2003","2003","208","Buildings for health and welfare","2","Extensions","000 Sq Metres","63"
"BHA07C2","Total Floor Area for which Permission Granted","2003","2003","208","Buildings for health and welfare","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHA07C2","Total Floor Area for which Permission Granted","2003","2003","209","Buildings for entertainment and recreation","-","All types of construction","000 Sq Metres","303"
"BHA07C2","Total Floor Area for which Permission Granted","2003","2003","209","Buildings for entertainment and recreation","1","New construction","000 Sq Metres","260"
"BHA07C2","Total Floor Area for which Permission Granted","2003","2003","209","Buildings for entertainment and recreation","2","Extensions","000 Sq Metres","43"
"BHA07C2","Total Floor Area for which Permission Granted","2003","2003","209","Buildings for entertainment and recreation","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHA07C2","Total Floor Area for which Permission Granted","2003","2003","210","Buildings for education, culture, science and research","-","All types of construction","000 Sq Metres","209"
"BHA07C2","Total Floor Area for which Permission Granted","2003","2003","210","Buildings for education, culture, science and research","1","New construction","000 Sq Metres","94"
"BHA07C2","Total Floor Area for which Permission Granted","2003","2003","210","Buildings for education, culture, science and research","2","Extensions","000 Sq Metres","116"
"BHA07C2","Total Floor Area for which Permission Granted","2003","2003","210","Buildings for education, culture, science and research","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHA07C2","Total Floor Area for which Permission Granted","2003","2003","211","Buildings for religious and funerary","-","All types of construction","000 Sq Metres","8"
"BHA07C2","Total Floor Area for which Permission Granted","2003","2003","211","Buildings for religious and funerary","1","New construction","000 Sq Metres","6"
"BHA07C2","Total Floor Area for which Permission Granted","2003","2003","211","Buildings for religious and funerary","2","Extensions","000 Sq Metres","2"
"BHA07C2","Total Floor Area for which Permission Granted","2003","2003","211","Buildings for religious and funerary","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHA07C2","Total Floor Area for which Permission Granted","2003","2003","212","Other non-residential buildings","-","All types of construction","000 Sq Metres","5"
"BHA07C2","Total Floor Area for which Permission Granted","2003","2003","212","Other non-residential buildings","1","New construction","000 Sq Metres","1"
"BHA07C2","Total Floor Area for which Permission Granted","2003","2003","212","Other non-residential buildings","2","Extensions","000 Sq Metres","4"
"BHA07C2","Total Floor Area for which Permission Granted","2003","2003","212","Other non-residential buildings","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHA07C2","Total Floor Area for which Permission Granted","2003","2003","213","Office development, buildings for financing and insurance","-","All types of construction","000 Sq Metres","544"
"BHA07C2","Total Floor Area for which Permission Granted","2003","2003","213","Office development, buildings for financing and insurance","1","New construction","000 Sq Metres","517"
"BHA07C2","Total Floor Area for which Permission Granted","2003","2003","213","Office development, buildings for financing and insurance","2","Extensions","000 Sq Metres","28"
"BHA07C2","Total Floor Area for which Permission Granted","2003","2003","213","Office development, buildings for financing and insurance","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHA07C2","Total Floor Area for which Permission Granted","2003","2003","214","Creche","-","All types of construction","000 Sq Metres","61"
"BHA07C2","Total Floor Area for which Permission Granted","2003","2003","214","Creche","1","New construction","000 Sq Metres","56"
"BHA07C2","Total Floor Area for which Permission Granted","2003","2003","214","Creche","2","Extensions","000 Sq Metres","4"
"BHA07C2","Total Floor Area for which Permission Granted","2003","2003","214","Creche","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHA07C2","Total Floor Area for which Permission Granted","2004","2004","200","All non residential buildings","-","All types of construction","000 Sq Metres","5211"
"BHA07C2","Total Floor Area for which Permission Granted","2004","2004","200","All non residential buildings","1","New construction","000 Sq Metres","4258"
"BHA07C2","Total Floor Area for which Permission Granted","2004","2004","200","All non residential buildings","2","Extensions","000 Sq Metres","953"
"BHA07C2","Total Floor Area for which Permission Granted","2004","2004","200","All non residential buildings","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHA07C2","Total Floor Area for which Permission Granted","2004","2004","201","Buildings for agriculture, forestry, horticulture, fruit-growing, viniculture and fishery purposes","-","All types of construction","000 Sq Metres","698"
"BHA07C2","Total Floor Area for which Permission Granted","2004","2004","201","Buildings for agriculture, forestry, horticulture, fruit-growing, viniculture and fishery purposes","1","New construction","000 Sq Metres","600"
"BHA07C2","Total Floor Area for which Permission Granted","2004","2004","201","Buildings for agriculture, forestry, horticulture, fruit-growing, viniculture and fishery purposes","2","Extensions","000 Sq Metres","98"
"BHA07C2","Total Floor Area for which Permission Granted","2004","2004","201","Buildings for agriculture, forestry, horticulture, fruit-growing, viniculture and fishery purposes","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHA07C2","Total Floor Area for which Permission Granted","2004","2004","202","Buildings for mining, energy and water","-","All types of construction","000 Sq Metres","22"
"BHA07C2","Total Floor Area for which Permission Granted","2004","2004","202","Buildings for mining, energy and water","1","New construction","000 Sq Metres","21"
"BHA07C2","Total Floor Area for which Permission Granted","2004","2004","202","Buildings for mining, energy and water","2","Extensions","000 Sq Metres","1"
"BHA07C2","Total Floor Area for which Permission Granted","2004","2004","202","Buildings for mining, energy and water","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHA07C2","Total Floor Area for which Permission Granted","2004","2004","203","Buildings for industry and manufacturing handicraft","-","All types of construction","000 Sq Metres","885"
"BHA07C2","Total Floor Area for which Permission Granted","2004","2004","203","Buildings for industry and manufacturing handicraft","1","New construction","000 Sq Metres","673"
"BHA07C2","Total Floor Area for which Permission Granted","2004","2004","203","Buildings for industry and manufacturing handicraft","2","Extensions","000 Sq Metres","211"
"BHA07C2","Total Floor Area for which Permission Granted","2004","2004","203","Buildings for industry and manufacturing handicraft","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHA07C2","Total Floor Area for which Permission Granted","2004","2004","204","Hotels, restaurants and cafes","-","All types of construction","000 Sq Metres","693"
"BHA07C2","Total Floor Area for which Permission Granted","2004","2004","204","Hotels, restaurants and cafes","1","New construction","000 Sq Metres","505"
"BHA07C2","Total Floor Area for which Permission Granted","2004","2004","204","Hotels, restaurants and cafes","2","Extensions","000 Sq Metres","188"
"BHA07C2","Total Floor Area for which Permission Granted","2004","2004","204","Hotels, restaurants and cafes","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHA07C2","Total Floor Area for which Permission Granted","2004","2004","205","Buildings for transport","-","All types of construction","000 Sq Metres","228"
"BHA07C2","Total Floor Area for which Permission Granted","2004","2004","205","Buildings for transport","1","New construction","000 Sq Metres","211"
"BHA07C2","Total Floor Area for which Permission Granted","2004","2004","205","Buildings for transport","2","Extensions","000 Sq Metres","17"
"BHA07C2","Total Floor Area for which Permission Granted","2004","2004","205","Buildings for transport","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHA07C2","Total Floor Area for which Permission Granted","2004","2004","206","Buildings for trade and administration buildings for other economic activities","-","All types of construction","000 Sq Metres","1331"
"BHA07C2","Total Floor Area for which Permission Granted","2004","2004","206","Buildings for trade and administration buildings for other economic activities","1","New construction","000 Sq Metres","1148"
"BHA07C2","Total Floor Area for which Permission Granted","2004","2004","206","Buildings for trade and administration buildings for other economic activities","2","Extensions","000 Sq Metres","183"
"BHA07C2","Total Floor Area for which Permission Granted","2004","2004","206","Buildings for trade and administration buildings for other economic activities","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHA07C2","Total Floor Area for which Permission Granted","2004","2004","207","Public administration and public buildings for special purposes","-","All types of construction","000 Sq Metres","5"
"BHA07C2","Total Floor Area for which Permission Granted","2004","2004","207","Public administration and public buildings for special purposes","1","New construction","000 Sq Metres","5"
"BHA07C2","Total Floor Area for which Permission Granted","2004","2004","207","Public administration and public buildings for special purposes","2","Extensions","000 Sq Metres","0"
"BHA07C2","Total Floor Area for which Permission Granted","2004","2004","207","Public administration and public buildings for special purposes","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHA07C2","Total Floor Area for which Permission Granted","2004","2004","208","Buildings for health and welfare","-","All types of construction","000 Sq Metres","210"
"BHA07C2","Total Floor Area for which Permission Granted","2004","2004","208","Buildings for health and welfare","1","New construction","000 Sq Metres","154"
"BHA07C2","Total Floor Area for which Permission Granted","2004","2004","208","Buildings for health and welfare","2","Extensions","000 Sq Metres","56"
"BHA07C2","Total Floor Area for which Permission Granted","2004","2004","208","Buildings for health and welfare","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHA07C2","Total Floor Area for which Permission Granted","2004","2004","209","Buildings for entertainment and recreation","-","All types of construction","000 Sq Metres","318"
"BHA07C2","Total Floor Area for which Permission Granted","2004","2004","209","Buildings for entertainment and recreation","1","New construction","000 Sq Metres","266"
"BHA07C2","Total Floor Area for which Permission Granted","2004","2004","209","Buildings for entertainment and recreation","2","Extensions","000 Sq Metres","52"
"BHA07C2","Total Floor Area for which Permission Granted","2004","2004","209","Buildings for entertainment and recreation","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHA07C2","Total Floor Area for which Permission Granted","2004","2004","210","Buildings for education, culture, science and research","-","All types of construction","000 Sq Metres","187"
"BHA07C2","Total Floor Area for which Permission Granted","2004","2004","210","Buildings for education, culture, science and research","1","New construction","000 Sq Metres","79"
"BHA07C2","Total Floor Area for which Permission Granted","2004","2004","210","Buildings for education, culture, science and research","2","Extensions","000 Sq Metres","108"
"BHA07C2","Total Floor Area for which Permission Granted","2004","2004","210","Buildings for education, culture, science and research","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHA07C2","Total Floor Area for which Permission Granted","2004","2004","211","Buildings for religious and funerary","-","All types of construction","000 Sq Metres","9"
"BHA07C2","Total Floor Area for which Permission Granted","2004","2004","211","Buildings for religious and funerary","1","New construction","000 Sq Metres","3"
"BHA07C2","Total Floor Area for which Permission Granted","2004","2004","211","Buildings for religious and funerary","2","Extensions","000 Sq Metres","6"
"BHA07C2","Total Floor Area for which Permission Granted","2004","2004","211","Buildings for religious and funerary","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHA07C2","Total Floor Area for which Permission Granted","2004","2004","212","Other non-residential buildings","-","All types of construction","000 Sq Metres","1"
"BHA07C2","Total Floor Area for which Permission Granted","2004","2004","212","Other non-residential buildings","1","New construction","000 Sq Metres","1"
"BHA07C2","Total Floor Area for which Permission Granted","2004","2004","212","Other non-residential buildings","2","Extensions","000 Sq Metres","0"
"BHA07C2","Total Floor Area for which Permission Granted","2004","2004","212","Other non-residential buildings","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHA07C2","Total Floor Area for which Permission Granted","2004","2004","213","Office development, buildings for financing and insurance","-","All types of construction","000 Sq Metres","534"
"BHA07C2","Total Floor Area for which Permission Granted","2004","2004","213","Office development, buildings for financing and insurance","1","New construction","000 Sq Metres","507"
"BHA07C2","Total Floor Area for which Permission Granted","2004","2004","213","Office development, buildings for financing and insurance","2","Extensions","000 Sq Metres","27"
"BHA07C2","Total Floor Area for which Permission Granted","2004","2004","213","Office development, buildings for financing and insurance","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHA07C2","Total Floor Area for which Permission Granted","2004","2004","214","Creche","-","All types of construction","000 Sq Metres","90"
"BHA07C2","Total Floor Area for which Permission Granted","2004","2004","214","Creche","1","New construction","000 Sq Metres","85"
"BHA07C2","Total Floor Area for which Permission Granted","2004","2004","214","Creche","2","Extensions","000 Sq Metres","5"
"BHA07C2","Total Floor Area for which Permission Granted","2004","2004","214","Creche","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHA07C2","Total Floor Area for which Permission Granted","2005","2005","200","All non residential buildings","-","All types of construction","000 Sq Metres","6037"
"BHA07C2","Total Floor Area for which Permission Granted","2005","2005","200","All non residential buildings","1","New construction","000 Sq Metres","4958"
"BHA07C2","Total Floor Area for which Permission Granted","2005","2005","200","All non residential buildings","2","Extensions","000 Sq Metres","1079"
"BHA07C2","Total Floor Area for which Permission Granted","2005","2005","200","All non residential buildings","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHA07C2","Total Floor Area for which Permission Granted","2005","2005","201","Buildings for agriculture, forestry, horticulture, fruit-growing, viniculture and fishery purposes","-","All types of construction","000 Sq Metres","689"
"BHA07C2","Total Floor Area for which Permission Granted","2005","2005","201","Buildings for agriculture, forestry, horticulture, fruit-growing, viniculture and fishery purposes","1","New construction","000 Sq Metres","596"
"BHA07C2","Total Floor Area for which Permission Granted","2005","2005","201","Buildings for agriculture, forestry, horticulture, fruit-growing, viniculture and fishery purposes","2","Extensions","000 Sq Metres","93"
"BHA07C2","Total Floor Area for which Permission Granted","2005","2005","201","Buildings for agriculture, forestry, horticulture, fruit-growing, viniculture and fishery purposes","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHA07C2","Total Floor Area for which Permission Granted","2005","2005","202","Buildings for mining, energy and water","-","All types of construction","000 Sq Metres","14"
"BHA07C2","Total Floor Area for which Permission Granted","2005","2005","202","Buildings for mining, energy and water","1","New construction","000 Sq Metres","12"
"BHA07C2","Total Floor Area for which Permission Granted","2005","2005","202","Buildings for mining, energy and water","2","Extensions","000 Sq Metres","1"
"BHA07C2","Total Floor Area for which Permission Granted","2005","2005","202","Buildings for mining, energy and water","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHA07C2","Total Floor Area for which Permission Granted","2005","2005","203","Buildings for industry and manufacturing handicraft","-","All types of construction","000 Sq Metres","923"
"BHA07C2","Total Floor Area for which Permission Granted","2005","2005","203","Buildings for industry and manufacturing handicraft","1","New construction","000 Sq Metres","724"
"BHA07C2","Total Floor Area for which Permission Granted","2005","2005","203","Buildings for industry and manufacturing handicraft","2","Extensions","000 Sq Metres","200"
"BHA07C2","Total Floor Area for which Permission Granted","2005","2005","203","Buildings for industry and manufacturing handicraft","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHA07C2","Total Floor Area for which Permission Granted","2005","2005","204","Hotels, restaurants and cafes","-","All types of construction","000 Sq Metres","1245"
"BHA07C2","Total Floor Area for which Permission Granted","2005","2005","204","Hotels, restaurants and cafes","1","New construction","000 Sq Metres","943"
"BHA07C2","Total Floor Area for which Permission Granted","2005","2005","204","Hotels, restaurants and cafes","2","Extensions","000 Sq Metres","302"
"BHA07C2","Total Floor Area for which Permission Granted","2005","2005","204","Hotels, restaurants and cafes","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHA07C2","Total Floor Area for which Permission Granted","2005","2005","205","Buildings for transport","-","All types of construction","000 Sq Metres","171"
"BHA07C2","Total Floor Area for which Permission Granted","2005","2005","205","Buildings for transport","1","New construction","000 Sq Metres","159"
"BHA07C2","Total Floor Area for which Permission Granted","2005","2005","205","Buildings for transport","2","Extensions","000 Sq Metres","12"
"BHA07C2","Total Floor Area for which Permission Granted","2005","2005","205","Buildings for transport","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHA07C2","Total Floor Area for which Permission Granted","2005","2005","206","Buildings for trade and administration buildings for other economic activities","-","All types of construction","000 Sq Metres","1697"
"BHA07C2","Total Floor Area for which Permission Granted","2005","2005","206","Buildings for trade and administration buildings for other economic activities","1","New construction","000 Sq Metres","1502"
"BHA07C2","Total Floor Area for which Permission Granted","2005","2005","206","Buildings for trade and administration buildings for other economic activities","2","Extensions","000 Sq Metres","194"
"BHA07C2","Total Floor Area for which Permission Granted","2005","2005","206","Buildings for trade and administration buildings for other economic activities","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHA07C2","Total Floor Area for which Permission Granted","2005","2005","207","Public administration and public buildings for special purposes","-","All types of construction","000 Sq Metres","23"
"BHA07C2","Total Floor Area for which Permission Granted","2005","2005","207","Public administration and public buildings for special purposes","1","New construction","000 Sq Metres","22"
"BHA07C2","Total Floor Area for which Permission Granted","2005","2005","207","Public administration and public buildings for special purposes","2","Extensions","000 Sq Metres","2"
"BHA07C2","Total Floor Area for which Permission Granted","2005","2005","207","Public administration and public buildings for special purposes","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHA07C2","Total Floor Area for which Permission Granted","2005","2005","208","Buildings for health and welfare","-","All types of construction","000 Sq Metres","213"
"BHA07C2","Total Floor Area for which Permission Granted","2005","2005","208","Buildings for health and welfare","1","New construction","000 Sq Metres","152"
"BHA07C2","Total Floor Area for which Permission Granted","2005","2005","208","Buildings for health and welfare","2","Extensions","000 Sq Metres","61"
"BHA07C2","Total Floor Area for which Permission Granted","2005","2005","208","Buildings for health and welfare","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHA07C2","Total Floor Area for which Permission Granted","2005","2005","209","Buildings for entertainment and recreation","-","All types of construction","000 Sq Metres","352"
"BHA07C2","Total Floor Area for which Permission Granted","2005","2005","209","Buildings for entertainment and recreation","1","New construction","000 Sq Metres","306"
"BHA07C2","Total Floor Area for which Permission Granted","2005","2005","209","Buildings for entertainment and recreation","2","Extensions","000 Sq Metres","46"
"BHA07C2","Total Floor Area for which Permission Granted","2005","2005","209","Buildings for entertainment and recreation","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHA07C2","Total Floor Area for which Permission Granted","2005","2005","210","Buildings for education, culture, science and research","-","All types of construction","000 Sq Metres","195"
"BHA07C2","Total Floor Area for which Permission Granted","2005","2005","210","Buildings for education, culture, science and research","1","New construction","000 Sq Metres","72"
"BHA07C2","Total Floor Area for which Permission Granted","2005","2005","210","Buildings for education, culture, science and research","2","Extensions","000 Sq Metres","123"
"BHA07C2","Total Floor Area for which Permission Granted","2005","2005","210","Buildings for education, culture, science and research","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHA07C2","Total Floor Area for which Permission Granted","2005","2005","211","Buildings for religious and funerary","-","All types of construction","000 Sq Metres","7"
"BHA07C2","Total Floor Area for which Permission Granted","2005","2005","211","Buildings for religious and funerary","1","New construction","000 Sq Metres","4"
"BHA07C2","Total Floor Area for which Permission Granted","2005","2005","211","Buildings for religious and funerary","2","Extensions","000 Sq Metres","2"
"BHA07C2","Total Floor Area for which Permission Granted","2005","2005","211","Buildings for religious and funerary","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHA07C2","Total Floor Area for which Permission Granted","2005","2005","212","Other non-residential buildings","-","All types of construction","000 Sq Metres","3"
"BHA07C2","Total Floor Area for which Permission Granted","2005","2005","212","Other non-residential buildings","1","New construction","000 Sq Metres","3"
"BHA07C2","Total Floor Area for which Permission Granted","2005","2005","212","Other non-residential buildings","2","Extensions","000 Sq Metres","0"
"BHA07C2","Total Floor Area for which Permission Granted","2005","2005","212","Other non-residential buildings","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHA07C2","Total Floor Area for which Permission Granted","2005","2005","213","Office development, buildings for financing and insurance","-","All types of construction","000 Sq Metres","413"
"BHA07C2","Total Floor Area for which Permission Granted","2005","2005","213","Office development, buildings for financing and insurance","1","New construction","000 Sq Metres","374"
"BHA07C2","Total Floor Area for which Permission Granted","2005","2005","213","Office development, buildings for financing and insurance","2","Extensions","000 Sq Metres","39"
